nClusters,dist,PCA,nTopics,silhouetteValue,Acc_FirtsPartyWinner,Acc_IssueArea
2,0.9188353374559897,2,2,0.7851003153755364,0.51952770208901,0.08628519527702089
3,0.5634403801337748,2,2,0.7815350745572333,0.20072661217075385,0.07659703300030275
4,0.488066701700837,2,2,0.7211694590623722,0.16651528913109295,0.1320012110202846
5,0.35001083118801507,2,2,0.7287889877346119,0.14774447471995156,0.06478958522555253
6,0.3267309992950932,2,2,0.7211004735974487,0.14774447471995156,0.06388132001211021
7,0.26263716326244724,2,2,0.7198609276803265,0.12897366030881016,0.08083560399636694
8,0.22815145216706267,2,2,0.7203833207790276,0.10838631547078413,0.09536784741144415
9,0.22147695079460672,2,2,0.715807035172818,0.1080835603996367,0.09657886769603391
10,0.19493065941929982,2,2,0.7149467127131367,0.1080835603996367,0.0950650923402967
11,0.17727960646530272,2,2,0.7152503865988902,0.1080835603996367,0.1320012110202846
12,0.16341023076695183,2,2,0.7132279001905929,0.09657886769603391,0.1307901907356948
13,0.1533710329330686,2,2,0.7019221044198518,0.09657886769603391,0.12322131395700878
14,0.14200174944873162,2,2,0.7010545882672827,0.09657886769603391,0.11837723281864972
15,0.1355067626222642,2,2,0.6971342527054034,0.09657886769603391,0.11565243717832274
16,0.12338350112221437,2,2,0.6983657230326379,0.09657886769603391,0.11474417196488042
17,0.11904370088813958,2,2,0.7010734144894184,0.09657886769603391,0.11474417196488042
18,0.10572758242904853,2,2,0.6867960828327968,0.09657886769603391,0.11353315168029064
19,0.09570756709809528,2,2,0.6889079713313978,0.08537693006357856,0.11262488646684832
2,1.727548463786675,2,7,0.4545890406878599,0.5395095367847411,0.07538601271571299
3,1.3324760797045658,2,7,0.5032601346196608,0.33636088404480774,0.10021192854980321
4,1.103967486365286,2,7,0.4540585682664475,0.26581895246745385,0.07084468664850137
5,1.0548328924514798,2,7,0.46035668455059847,0.19194671510747804,0.09022101120193764
6,0.8213792777612177,2,7,0.44653863986710574,0.19194671510747804,0.08870723584620042
7,0.8050349759789166,2,7,0.40046442045631386,0.16076294277929154,0.0768997880714502
8,0.8048148222893992,2,7,0.3484696474255289,0.11807447774750227,0.05812897366030881
9,0.7724104272253884,2,7,0.34988885224635596,0.11807447774750227,0.05933999394489858
10,0.7081076085159486,2,7,0.35654248963571167,0.11777172267635483,0.12231304874356645
11,0.6633998641343113,2,7,0.3449126288703848,0.10778080532848926,0.12352406902815623
12,0.6624506050564744,2,7,0.3404065838067948,0.0711474417196488,0.09657886769603391
13,0.637550367223982,2,7,0.3485636726426085,0.0711474417196488,0.08991825613079019
14,0.6131241435719887,2,7,0.34719891292508825,0.0711474417196488,0.08900999091734786
15,0.5594341751258713,2,7,0.34680867575345464,0.0711474417196488,0.08870723584620042
16,0.5391103614138343,2,7,0.35089558871530374,0.0711474417196488,0.07962458371177718
17,0.5025201775886662,2,7,0.360381945959275,0.06357856494096276,0.07750529821374508
