tree1,tree2,dist
109,487,1.7705149249550023e-06
1242,1260,2.0284022860909967e-06
989,3028,1.3221113147502545e-05
1621,2332,2.7798217618318216e-05
1131,3042,3.17376754853764e-05
192,1898,3.283651609427285e-05
546,2865,3.5062225569131716e-05
254,990,3.7403341234579744e-05
881,1737,4.037985213693057e-05
2126,3200,4.173788566447581e-05
520,2364,4.720887300319401e-05
702,3294,4.8427333199903624e-05
1842,2896,5.128188048871864e-05
2313,2869,5.610373266381856e-05
1239,1316,5.989779511185456e-05
1034,1579,6.042331138952223e-05
213,1858,6.06890274102434e-05
1518,2118,6.275562742350665e-05
973,1730,6.287270438920176e-05
1420,1734,6.422227725577309e-05
669,1804,7.097107307681844e-05
44,2322,7.196923048368928e-05
1980,2805,7.378774721512882e-05
1062,2429,7.505589328280458e-05
910,1135,7.55435051703196e-05
670,3081,7.69442354978337e-05
1821,2832,7.728208334380204e-05
1160,1480,7.813829591082639e-05
1298,1617,7.8701524056023e-05
965,1395,8.013860848981105e-05
1378,2171,8.511644295407413e-05
994,1723,8.658278345961834e-05
1303,3175,9.670148415010134e-05
519,1205,9.840190590007167e-05
866,3091,9.908645830092322e-05
1312,2210,0.00010056741354902247
2115,2467,0.00010102279508452348
337,2231,0.00010292621826773259
382,1545,0.00010333743250819788
1527,2556,0.00010382541501729667
1214,1317,0.00010464499423185926
342,3272,0.0001056947802050498
462,917,0.00010651411088066776
3103,3126,0.00011019473903183322
830,2035,0.00011051813643064845
1322,3271,0.00011195324487519795
1196,1639,0.00011203705962802013
2111,2998,0.00011210017085625142
915,3164,0.00011284172208284211
1177,1357,0.0001133963760913681
2610,3150,0.00011467640426218381
424,2958,0.0001160944131275432
1372,2334,0.0001193059146065295
971,1753,0.00011958259828024481
816,3051,0.00012015478932106763
1199,2547,0.00012077335793530663
2125,2618,0.00012191394140622161
2427,3032,0.00012233973403731266
1269,2244,0.00012380876272300584
1418,2700,0.00012511735953907657
2160,2662,0.0001262697341164222
1791,1817,0.00012680460176368608
344,2946,0.00012751641996132206
100,719,0.00012820547887083117
885,1153,0.0001295619700274666
277,3102,0.00012977430939325324
1789,2613,0.00012993410895623808
