tree1,tree2,dist
1242,1260,1.2276330878940866e-08
13,97,4.1202138750806583e-07
1680,1968,5.508873828496963e-07
1618,1780,8.942272156642339e-07
549,976,1.0531024637050468e-06
1019,1882,1.2135602717733285e-06
376,2033,2.1423398219866385e-06
678,878,2.434285198277264e-06
1060,3306,2.931078095930184e-06
112,2433,7.83484277772084e-06
382,1298,1.0100046874350621e-05
69,1478,1.96394024984288e-05
3313,1396,2.897532927981228e-05
1389,2032,3.485014235715678e-05
1234,1839,3.832301094869317e-05
654,1002,3.9097601042259456e-05
794,3311,4.612722054345153e-05
64,3314,6.0635484343317045e-05
1206,1416,6.360406142046082e-05
983,2956,7.043917465593408e-05
1690,1936,8.517395240786874e-05
317,2001,8.930434959264488e-05
3307,2734,9.208724856661632e-05
3319,1392,9.255251682549481e-05
1155,1890,9.376703695278266e-05
990,1034,0.00010038392308922561
119,415,0.00010133884854365838
1539,1934,0.00010301000732026999
1374,1770,0.00010594108541622793
1047,2338,0.00010857830541471936
1025,1812,0.00010974900859705983
863,1259,0.00011879950005494466
2360,2964,0.00012558101479021033
892,2180,0.00013887682693548842
2400,2738,0.00013932311976955214
932,3041,0.0001407823311617984
3318,1241,0.0001618799656875891
3326,1996,0.0001812052094047334
3315,3321,0.00018535553556038586
2578,2751,0.00020742840573451105
3309,1449,0.00021484607929458943
927,1742,0.0002178188459589503
543,1015,0.00022322684851353025
84,2268,0.0002325501892005144
436,2922,0.0002574414007527337
17,3330,0.0002628779617724897
15,964,0.00026330698755791526
2186,3056,0.00026652463198623133
495,1552,0.00027080892517949984
1201,1727,0.00027158747972372277
3327,2837,0.00027223148313486323
3331,2426,0.00027338513155708566
1353,1720,0.000279728186979078
3322,1738,0.00028750799744378663
856,3336,0.0002881954679725407
1265,2646,0.0003011868676742746
1244,2923,0.0003063712983016331
3320,3329,0.0003103548583609887
220,810,0.0003139951332553348
733,3335,0.0003238857525335037
21,767,0.0003314678789023695
53,1474,0.0003337740509345658
3334,3316,0.00033988330955020407
721,1412,0.00035189352335928195
441,1587,0.000356966506608547
728,1887,0.00035715004917716286
138,459,0.00036060169886307017
1278,2039,0.00036064057464707533
1225,2834,0.00036178497689300093
768,3323,0.0003628994679372166
2375,2828,0.0003822067714688536
193,1502,0.0003827335338475457
3328,1916,0.0003852539097095875
1566,2037,0.00038578935913785584
867,3206,0.00039429150802416935
2221,2439,0.0004049017703269264
1886,2802,0.00040722347610271104
500,2764,0.0004080124741629443
3338,1532,0.0004243669138889461
3343,2079,0.0004298145780077256
527,673,0.0004313532566005418
827,3308,0.0004342747905882183
628,1535,0.0004544891911049398
1856,3142,0.00046480246113850265
1604,2109,0.0004648186674507948
3304,1940,0.00047210783981366244
1326,2161,0.000487488929841233
1115,1280,0.00048769912744155153
1659,1836,0.00048796861973848804
744,1183,0.0004891997281431804
187,2542,0.0005098394555488606
3353,1339,0.000531196383333099
3339,1266,0.0005341020442249933
3348,3340,0.0005396909643231029
724,1628,0.0005405488319965845
1888,2021,0.0005426412281899218
1614,2131,0.0005431933542512646
1388,1393,0.00054369535612518
2276,2850,0.0005453182463686611
1896,2694,0.0005467021414955475
3349,841,0.0005476261460519161
3333,1401,0.0005508261730977349
1373,1534,0.0005528234291492847
2295,2960,0.0005538650825679808
1243,1395,0.0005586648984720975
1653,3105,0.0005805290863370449
133,954,0.000584634398235917
2365,2712,0.0005879657569827224
1110,1923,0.0005890331047119224
2129,2969,0.0005897319445816729
808,2447,0.000597565641745651
432,3255,0.0006128586359758215
3317,1543,0.0006268346278194836
1472,1697,0.0006315797362318187
1164,3354,0.0006336841805517357
704,2092,0.0006356554290971594
140,977,0.0006534790623969333
1355,2332,0.0006564638209314664
410,1299,0.0006597117446262568
1077,1450,0.0006719129318317751
3356,3161,0.0006785393736461476
246,1427,0.0006810220506395792
320,1951,0.0006967848032885526
707,1250,0.000701388294896993
3352,1822,0.000703238349007429
797,1497,0.000705282255028139
387,3365,0.0007053537567757173
